cell.instance,tumor.label
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C05-S125-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E05-S53-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-E01-S145-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A11-S11-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G05-S77-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G11-S83-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G06-S366-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G01-S361-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F10-S70-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F02-S62-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E02-S50-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C12-S132-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A06-S6-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B05-S113-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A02-S98-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G09-S177-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D02-S326-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C04-S124-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B03-S111-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E03-S339-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C06-S126-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C09-S129-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C12-S324-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A08-S104-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G02-S74-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D03-S327-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G07-S175-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B12-S312-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G11-S371-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-F08-S356-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G03-S363-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F08-S164-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H04-S184-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C09-S321-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C03-S123-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F12-S168-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B01-S109-comb,Mel79
